フィーチャID,形状(WKT),ルートID,名称,問い合わせ先,ホームページ,期間開始日時,期間終了日時,作成者,作成日時,更新者,更新日時
141,POINT(137.324881124122 35.1968444583702),rt0505,お須原山縁結び岩,旭観光協会 0565-68-3653,http://www.kankou-asahi.toyota.aichi.jp/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2020/11/09 14:44:14
142,POINT(137.360609403121 35.2034000795943),rt0505,貞観杉,旭観光協会 0565-68-3653,http://www.kankou-asahi.toyota.aichi.jp/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2020/11/09 14:42:45
143,POINT(137.384040049286 35.2422303014234),rt0505,時瀬大いちょう,旭観光協会 0565-68-3653,http://www.kankou-asahi.toyota.aichi.jp/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2020/11/09 14:43:08
144,POINT(137.406717114845 35.2192098305171),rt0505,旭高原元気村,0565-68-2755,http://www.asahikougen.co.jp/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2020/11/09 14:46:17
145,POINT(137.240887750281 35.0343204073274),rt0506,二畳ケ滝,豊田市観光協会 0565-34-6642,http://www.citytoyota-kankou-jp.org/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2020/11/09 14:52:35
146,POINT(137.198197800037 35.0893373505268),rt0506,自然観察の森,0565-88-1310,"","","",システム管理者,2015/01/26 15:48:15,システム管理者,""
147,POINT(137.23100752453 35.0555555899624),rt0506,滝川ふれあい工房,0565-58-3771,"","","",システム管理者,2015/01/26 15:48:15,システム管理者,""
148,POINT(137.151741728857 35.0804070532837),rt0506,七州城址公園,豊田市美術館 0565-34-6610,"","","",システム管理者,2015/01/26 15:48:15,システム管理者,""
149,POINT(137.556354402158 34.9963426728942),rt0601,山びこの丘,0563-35-1191,http://www.sanyurin.jp/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2020/11/09 15:11:24
150,POINT(137.568526083091 35.0502645387647),rt0601,新城市四谷地区,新城市観光協会鳳来支部 0536-32-0022,"","","",システム管理者,2015/01/26 15:48:15,システム管理者,""
151,POINT(137.578822402548 34.9722263240064),rt0601,鳳来寺山自然科学博物館,0563-35-1001,"","","",システム管理者,2015/01/26 15:48:15,システム管理者,""
152,POINT(137.615904257179 34.9741771980482),rt0601,鳳来ゆーゆーありいな,0536-32-2212,http://www.sanyurin.jp/yuyu/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2020/11/09 15:08:48
153,POINT(137.420641678522 34.9631856588179),rt0602,つくで手作り村（味彩館、山家市）,0563-37-2772,http://www.tsukude.com/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2020/11/09 15:16:43
154,POINT(137.421418069277 34.9628324571347),rt0602,つくで手作り村（勇気工房）,"","","","",システム管理者,2015/01/26 15:48:15,システム管理者,""
155,POINT(137.42230289258 34.9621364613767),rt0602,つくで手作り村（とんちん館）,0563-37-2772,"","","",システム管理者,2015/01/26 15:48:15,システム管理者,2020/11/09 15:25:26
157,POINT(137.423337305589 34.9637659512943),rt0602,歴史の小径（亀山城趾等）,新城市教育委員会文化課 0563-23-7655,"","","",システム管理者,2015/01/26 15:48:15,システム管理者,""
158,POINT(137.665754544766 35.0981401499034),rt0604,振草農産物生産直売組合,0536-78-5108,"","","",システム管理者,2015/01/26 15:48:15,システム管理者,""
159,POINT(137.706688556705 35.0748516376287),rt0604,とうえい温泉,0536-77-0268,https://toueionsen.com/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2020/11/09 15:36:30
160,POINT(137.69821977791 35.1435610631714),rt0604,湯～らんどパルとよね,0536-85-1180,"","","",システム管理者,2015/01/26 15:48:15,システム管理者,2020/11/09 15:34:27
161,POINT(137.721236390272 35.0468410352361),rt0604,愛知東農業協同組合東栄直売所,0536-79-3343,"","","",システム管理者,2015/01/26 15:48:15,システム管理者,""
162,POINT(137.655122184524 35.2278282939236),rt0605,茶臼山高原,0536-87-2345,"","","",システム管理者,2015/01/26 15:48:15,システム管理者,""
163,POINT(137.605164700807 35.2003636128552),rt0605,つぐ高原グリーンパーク,0536-83-2344,http://www.green-park.net/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2020/11/09 15:46:21
164,POINT(137.53454614756 35.1728434225496),rt0605,アグリステーションなぐら,0536-62-0888,http://aguristationnagura.jp/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2020/11/09 15:48:01
165,POINT(137.062195079066 34.6282092729262),rt0701,キャベツ畑,渥美半島観光ビューロー 0531-23-3516,https://www.taharakankou.gr.jp/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2020/11/09 15:54:30
166,POINT(137.208344257864 34.6155082774551),rt0701,愛知みなみ農協ふれあい広場赤羽根店,0531-45-3135,"","","",システム管理者,2015/01/26 15:48:15,システム管理者,""
167,POINT(137.201856574676 34.6427274700065),rt0701,サンテパルクたはら,0531-25-1234,http://santepark.com/,"","",システム管理者,2015/01/26 15:48:16,システム管理者,2020/11/09 15:56:49
168,POINT(137.060557579467 34.5951487287233),rt0701,初立池公園,田原市役所（農政課） 0531-22-1111,"","","",システム管理者,2015/01/26 15:48:16,システム管理者,2020/11/09 16:04:42
169,POINT(137.269176338746 34.6735125654762),rt0701,田原城跡・田原市博物館,田原市博物館 0531-22-1720,http://www.taharamuseum.gr.jp/,"","",システム管理者,2015/01/26 15:48:16,システム管理者,2020/11/09 16:09:03
170,POINT(137.017436410039 34.5789932060596),rt0701/rt0705,伊良湖岬灯台,渥美半島観光ビューロー 0531-23-3516,https://www.taharakankou.gr.jp/,"","",システム管理者,2015/01/26 15:48:16,システム管理者,2020/11/09 16:02:36
171,POINT(137.23206329707 34.8114874379111),rt0702,竹島,蒲郡市観光協会 0533-68-2526,http://www.gamagori.jp/,"","",システム管理者,2015/01/26 15:48:16,システム管理者,2020/11/09 16:12:46
172,POINT(137.20106601996 34.8147545680755),rt0702,蒲郡海鮮市場,0533-68-7879,"","","",システム管理者,2015/01/26 15:48:16,システム管理者,""
173,POINT(137.241075782468 34.8544296339992),rt0702,蒲郡オレンジパーク,0533-68-2321,http://www.orepa.jp/,"","",システム管理者,2015/01/26 15:48:16,システム管理者,2020/11/09 16:18:13
174,POINT(137.225412318993 34.819433053181),rt0702,手織り三河木綿工房,手織り三河木綿工房・手織場（てばたば） 0533-68-5771,"","","",システム管理者,2015/01/26 15:48:16,システム管理者,2020/11/09 16:17:05
175,POINT(137.263182448288 34.8304793653782),rt0702,とよおか湖公園,"","","","",システム管理者,2015/01/26 15:48:16,システム管理者,""
176,POINT(137.259763915657 34.8238469975692),rt0702,砥神山麓収穫体験園,0533-67-1570,"","","",システム管理者,2015/01/26 15:48:16,システム管理者,""
177,POINT(137.458009089215 34.7255043601559),rt0703,産直プラザ二川,0532-41-2413,https://www.ja-toyohashi.com/,"","",システム管理者,2015/01/26 15:48:16,システム管理者,2020/11/11 09:49:23
178,POINT(137.392118233811 34.7677445807227),rt0703,豊橋市公会堂,0532-51-3077 ,http://www.bunzai.or.jp/publichall/,"","",システム管理者,2015/01/26 15:48:16,システム管理者,2020/11/11 09:54:45
179,POINT(137.393076523253 34.7706186048402),rt0703,吉田城,"","","","",システム管理者,2015/01/26 15:48:16,システム管理者,""
180,POINT(137.449878970287 34.7236393750932),rt0703,二川宿本陣（ふたがわしゅくほんじん）資料館,0532-41-8580,http://www.bunzai.or.jp/publichall/,"","",システム管理者,2015/01/26 15:48:16,システム管理者,2020/11/11 10:06:45
181,POINT(137.352641046528 34.8523990400655),rt0704,四季の森,0533-88-7270,http://www.city.toyokawa.lg.jp/,"","",システム管理者,2015/01/26 15:48:16,システム管理者,""
182,POINT(137.310076459795 34.857288685997),rt0704,グリーンセンター音羽（ぺったん工房、加工品購入）,0533-88-6600,https://ja-himawari.com/,"","",システム管理者,2015/01/26 15:48:16,システム管理者,2020/11/11 10:11:11
183,POINT(137.426121316747 34.877641441555),rt0704,本宮の湯,0533-92-1880,https://www.honguu-no-yu.com/,"","",システム管理者,2015/01/26 15:48:16,システム管理者,2020/11/11 10:19:51
184,POINT(137.368552861856 34.7987345625156),rt0704,五社稲荷社朝市,五社稲荷社 0533-72-3062,"","","",システム管理者,2015/01/26 15:48:16,システム管理者,2020/11/11 10:20:57
185,POINT(137.310931404506 34.8521130980407),rt0704,御油（ごゆ）の松並木,豊川市観光協会 0533-89-2206　,http://www.toyokawa-map.net/,"","",システム管理者,2015/01/26 15:48:16,システム管理者,2020/11/11 10:26:18
186,POINT(137.322054461837 34.7888141564061),rt0705,三河臨海緑地「日本列島」,愛知県 建設局 三河港務所 0532-31-4158,https://www.pref.aichi.jp/kensetsu-somu/mikawa-komu/,"","",システム管理者,2015/01/26 15:48:16,システム管理者,2020/11/11 10:40:39
187,POINT(137.190326450942 34.7955641410057),rt0705,ブルーブリッジ（形原漁港大橋）,愛知県三河港務所,https://www.pref.aichi.jp/soshiki/mikawa-komu/0000012885.html,"","",システム管理者,2015/01/26 15:48:16,システム管理者,2020/11/11 11:01:23
188,POINT(137.101329139844 34.6253876817069),rt0705,愛知みなみ農協　ふれあい広場渥美店,0531-32-1151,http://www.ja-aichiminami.or.jp/store/index.php,"","",システム管理者,2015/01/26 15:48:16,システム管理者,2020/11/11 11:13:51
189,POINT(137.261790717764 34.6847785472643),rt0705,蔵王山（ざおうさん）展望台,0531-22-0426,http://www.zao3.net/,"","",システム管理者,2015/01/26 15:48:16,システム管理者,2020/11/11 11:10:22
190,POINT(137.177571142614 34.7805649072274),rt0705,西浦鮮魚マーケット,蒲郡漁業協同組合　西浦支所 0533-57-6155,http://gamagori-gyokyo.com/index.html,"","",システム管理者,2015/01/26 15:48:16,システム管理者,2020/11/11 11:17:04
191,POINT(137.476892860563 34.8959398529879),rt0606,グリーンセンターしんしろ,0536-23-7560,http://www.ja-aichihigashi.com/sanchoku/,"","",システム管理者,2015/01/26 15:48:16,システム管理者,2020/11/11 15:13:59
192,POINT(137.527991545382 34.9188315456923),rt0606,新城市設楽原歴史資料館,0536-22-0673,https://www.city.shinshiro.lg.jp/mokuteki/shisetu/shiryokan/shitaragabara/yokoso.html,"","",システム管理者,2015/01/26 15:48:16,システム管理者,2020/11/11 15:33:02
193,POINT(137.55511935262 34.9250131287147),rt0606,こんたく長篠,0536-32-0002,http://www.ja-aichihigashi.com/sanchoku/,"","",システム管理者,2015/01/26 15:48:16,システム管理者,2020/11/11 15:14:21
194,POINT(137.559608627104 34.9230695321046),rt0606,長篠城址,新城市長篠城址史跡保存館 0536-32-0162,https://www.city.shinshiro.lg.jp/,"","",システム管理者,2015/01/26 15:48:16,システム管理者,2020/11/11 15:28:34
195,POINT(137.586029727348 34.9788995625471),rt0606,鳳来寺山,新城市 教育部 生涯共育課 設楽原歴史資料館 0536-22-0673,https://www.city.shinshiro.lg.jp/kanko/meisyo/horaijisan.html,"","",システム管理者,2015/01/26 15:48:16,システム管理者,2020/11/11 11:38:09
196,POINT(137.534718496101 35.055005315068),rt0606,田峯城址,設楽町観光協会 0536-62-1000,"","","",システム管理者,2015/01/26 15:48:16,システム管理者,2020/11/11 15:27:06
197,POINT(137.664392171667 35.0218918397955),rt0607,乳岩峡,新城市 教育部 生涯共育課 設楽原歴史資料館 0536-22-0673,https://www.city.shinshiro.lg.jp/kanko/meisyo/chiiwa.html,"","",システム管理者,2015/01/26 15:48:16,システム管理者,2020/11/11 11:39:01
198,POINT(137.626556606615 34.9950423168597),rt0607,愛知県民の森,0536-32-1262　, http://www.aichi-park.or.jp/kenmin/index.html ,"","",システム管理者,2015/01/26 15:48:16,システム管理者,2020/11/11 15:36:05
199,POINT(137.613528064185 34.9702104905604),rt0607,湯谷温泉,（要）各旅館,"","","",システム管理者,2015/01/26 15:48:16,システム管理者,""
200,POINT(136.915555388012 34.9326044526345),rt0311,阿久比町みんなの菊花展,"","","","",システム管理者,2015/01/26 15:48:16,システム管理者,""
201,POINT(136.96177987132 35.0214594414225),rt0311,収穫体験〔ぶどう狩り〕,大府長根山観光ぶどう組合事務局 　大府市長根町2-180 　0562-46-3634 東浦町観光協会 　知多郡東浦町大字石浜字岐路28-2 　0562-83-6118,"","","",システム管理者,2015/01/26 15:48:16,システム管理者,2020/11/11 15:58:32
202,POINT(136.884501353224 35.0153637071072),rt0312,東海フラワーショウ,"(問会先)東海市環境経済部農務課 052-603-2211,0562-33-1111",http://www.city.tokai.aichi.jp/,"","",システム管理者,2015/01/26 15:48:16,システム管理者,2020/11/11 15:59:56
203,POINT(136.983429961984 34.9885993733039),rt0408,刈谷市亀城公園,刈谷市観光協会（刈谷市役所文化観光課内） 0566-23-4100,http://www.kariya-guide.com/,"","",システム管理者,2015/01/26 15:48:16,システム管理者,2020/12/22 09:44:04
204,POINT(136.980884348794 34.8739810592314),rt0408,伝統食品工場見学[九重みりん時代館・九重味淋大蔵],碧南市観光協会  碧南市松本町28 0566-95-9894,https://www.hekinan-kanko.jp/,"","",システム管理者,2015/01/26 15:48:16,システム管理者,2020/11/12 09:36:44
205,POINT(136.977085768196 34.865699506293),rt0408,伝統食品工場見学[株式会社　角谷文次郎商店],碧南市観光協会  碧南市松本町28 0566-95-9894,https://www.hekinan-kanko.jp/,"","",システム管理者,2015/01/26 15:48:16,システム管理者,2020/11/12 09:37:05
206,POINT(136.996679822732 34.905826715345),rt0408,伝統食品工場見学[ヤマシン 株式会社　白しょうゆ醸造工場],碧南市観光協会  碧南市松本町28 0566-95-9894,https://www.hekinan-kanko.jp/,"","",システム管理者,2015/01/26 15:48:16,システム管理者,2020/11/12 09:37:26
207,POINT(136.986433607804 34.9025034983823),rt0408,伝統食品工場見学[七福醸造　株式会社　ありがとうの里],碧南市観光協会  碧南市松本町28 0566-95-9894,https://www.hekinan-kanko.jp/,"","",システム管理者,2015/01/26 15:48:16,システム管理者,2020/11/12 09:37:42
208,POINT(136.982864443962 34.8837201606711),rt0408,伝統食品工場見学[スギ製菓　株式会社　工場],碧南市観光協会  碧南市松本町28 0566-95-9894,https://www.hekinan-kanko.jp/,"","",システム管理者,2015/01/26 15:48:16,システム管理者,2020/11/12 09:37:58
209,POINT(136.968666262068 34.8510007711279),rt0408,碧南市あおいパーク,碧南市農業活性化センター あおいパーク 碧南市江口町3-15-3 0566-43-0511,http://www.city.hekinan.lg.jp/aoi_park/,"","",システム管理者,2015/01/26 15:48:16,システム管理者,2020/11/12 09:41:00
210,POINT(136.970446383968 34.8473976793044),rt0408,前浜新田の松並木,碧南市役所　都市整備課 碧南市松本町28 0566-41-3311（内線44 1）,http://www.city.hekinan.lg.jp/index.html,"","",システム管理者,2015/01/26 15:48:16,システム管理者,2020/11/12 13:28:40
211,POINT(137.055136027339 35.0033263485319),rt0409,旧東海道「池鯉鮒」の松並木,知立市観光協会（知立市役所経済課内） 知立市広見3-1 0566-83-1111（内線211・212）,https://www.city.chiryu.aichi.jp/,"","",システム管理者,2015/01/26 15:48:16,システム管理者,2020/11/12 13:42:36
212,POINT(137.09993715182 34.9865918238722),rt0409,明治用水（明治川神社から中井筋）,明治用水土地改良区 (明治用水会館内) 安城市大東町22-16 0566-76-6241,http://www.midorinet-meiji.jp/,"","",システム管理者,2015/01/26 15:48:16,システム管理者,2020/11/12 13:46:26
213,POINT(137.060740967818 34.9302124860389),rt0409/rt0410,安城市デンパーク,安城産業文化公園デンパーク 安城市赤松町梶1 0566-92-7111,https://denpark.jp/,"","",システム管理者,2015/01/26 15:48:16,システム管理者,2020/11/12 13:54:38
214,POINT(137.070203639262 34.9444547755918),rt0409/rt0410,都市に広がる集団農地,安城市役所経済環境部農務課農政係  安城市桜町18-23 0566-76-1111(代表),https://www.city.anjo.aichi.jp/soshiki/sangyoshinkoubu/nomu.html,"","",システム管理者,2015/01/26 15:48:16,システム管理者,2020/11/12 14:06:10
215,POINT(137.120738592708 35.0053070622037),rt0410,明治緑道水車公園の三連水車,明治用水土地改良区 (明治用水会館内) 安城市大東町22-16 0566-76-6241,http://www.midorinet-meiji.jp/,"","",システム管理者,2015/01/26 15:48:16,システム管理者,2020/11/12 14:07:07
216,POINT(137.08305532389 34.9672897704579),rt0410,明治用水（明治用水歴史資料室・豊田安城自転車道）,明治用水土地改良区 (明治用水会館内) 安城市大東町22-16 0566-76-6241,http://www.midorinet-meiji.jp/,"","",システム管理者,2015/01/26 15:48:16,システム管理者,2020/11/12 14:07:33
217,POINT(137.645359444919 34.9506715551434),rt0607,阿寺の七滝,"","","","",システム管理者,2015/01/26 15:48:16,システム管理者,""
218,POINT(137.45045545466 34.7485467246394),rt0703,葦毛湿原,"","","","",システム管理者,2015/01/26 15:48:16,システム管理者,""
