フィーチャID,形状(WKT),データID,データ名,特色、概要,問い合わせ先,問い合わせ先電話番号,問い合わせ先ホームページ,期間開始日時,期間終了日時,作成者,作成日時,更新者,更新日時
86,POINT(136.934371590614 34.8930724650368),da030501,MIZKAN MUSEUM,日本唯一のお酢の総合博物館 「MIZKAN MUSEUM」,MIZKAN MUSEUM,0569-24-5111,http://www.mizkan.co.jp/mim/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/11/06 13:36:31
88,POINT(136.934783592026 34.8953392700988),da030503,國盛 酒の文化館,２００年前に作られた酒蔵を改装した酒の博物館,國盛 酒の文化館,0569-23-1499,https://www.nakanoshuzou.jp/museum/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/11/06 13:47:28
89,POINT(136.866916046395 34.8555163797801),da030504,多賀の里農畜産物直売所,農産物、畜産物、水産物の新鮮な品を揃えています。,多賀の里,0569-34-8630,"","","",システム管理者,2015/01/26 15:48:18,システム管理者,""
90,POINT(136.867315675108 34.8236766260637),da030505,小脇公園,体験農業、バーベキュー、朝市、喫茶などでたのしい公園,小脇公園,0569-37-1531,http://www.city.tokoname.aichi.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,""
91,POINT(136.866121803249 34.8273157234361),da030506,盛田味の館,江戸時代から今に伝わる１６０年前の醸造蔵、食事処。,盛田味の館,0569-37-0733,http://www.moritakk.com/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,""
92,POINT(136.906865799654 35.0221836611671),da030507,東海市立農業センター,洋ラン研究、果樹の展示栽培等を行なっています。,東海市立農業センター,052-601-8731,http://www.city.tokai.aichi.jp,"","",システム管理者,2015/01/26 15:48:18,システム管理者,""
93,POINT(136.943302363089 34.993941017241),da030508,ＪＡあぐりタウン げんきの郷,「農」と「食」をテーマとする健康・安全の拠点施設。 ファーマーズマーケットやレストラン、温泉などがあり週末はイベントを開催しています。,ＪＡあぐりタウン げんきの郷,0562-45-4080,http://www.agritown.co.jp,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2021/01/18 14:44:36
94,POINT(136.937004818405 35.0052247014526),da030509,おはよう君,平成５年オ－プンの直売所の老舗,農業生産法人(有)新鮮農場,0562-48-6681,http://www.ohayo-kun.com/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/07/27 11:29:55
95,POINT(136.888631283292 34.9670724080865),da030510,佐布里緑と花のふれあい公園,佐布里池周辺の自然や景観を活かした参加体験型施設,佐布里緑と花のふれあい公園「梅の館」,0562-54-2911,https://www.sourifureai.com/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/07/27 11:35:29
97,POINT(136.822690042032 34.9552655156345),da030512,新舞子マリンパーク,ブルーサンビーチや魚釣り施設などがあり、マリンレジャーが楽しめるスポットです。,新舞子マリンパーク管理事務所,0562-56-3980,http://www.marine-park.jp/info/index.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2021/01/18 14:39:30
98,POINT(136.926330231061 34.9238728582818),da030513,東部産直ひろば（農産物の直売）,阿久比町の豊かな土地で育った新鮮な農産物がいっぱいです。,東部産直ひろば,"","","","",システム管理者,2015/01/26 15:48:18,システム管理者,""
99,POINT(136.899250542634 34.9478317014949),da030514,草木農産物直売所,阿久比町の豊かな土地で育った新鮮な農産物がいっぱいです。,草木農産物直売組合,0569-48-0523,"","","",システム管理者,2015/01/26 15:48:18,システム管理者,""
100,POINT(136.918849810356 34.9291134706103),da030515,グリーンプラザあぐい（農産物の直売）,地元産を中心に、豊かな土地で育った新鮮な農産物がいっぱいです。,グリーンプラザあぐい,0569-48-1124,https://www.agris.or.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/07/27 11:45:08
101,POINT(137.002458238956 34.707152838958),da030516,日間賀島教育旅行,日間賀島で生きている魚と自然を体で経験してください。,日間賀島観光協会,0569-68-2388,http://www.himaka.net/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2021/03/15 14:39:39
102,POINT(136.938171818899 34.7065353850215),da030517,豊浜魚ひろば,活きのよさはもちろん、価格もとびっきりの産直市場です。,魚ひろば事務局,0569-65-0483,http://sakanahiroba.net/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/07/27 11:49:04
103,POINT(136.897783072233 34.890899863933),da030518,ファーマーズマーケット　ブリオ,「飼育から販売まで自分の手で」ファーマーズマーケットブリオ,ファーマーズマーケット　ブリオ,0569-20-5410,http://www.fm‐brio.com,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/11/06 13:51:12
104,POINT(136.847254252689 34.7559860742076),da030519,食と健康の館,知多美浜の自然を活かした新しい体験型観光・製塩施設！,食と健康の館,0569-83-3600,http://www.shio-yakata.com/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2015/11/30 13:43:28
106,POINT(136.879102210794 34.8011135270615),da030520,ジョイフルファーム鵜の池,とれたての農産物をお値打ちに直売！味覚狩りも楽しめます。,ジョイフルファーム鵜の池,0569-87-6080,http://joyful-f.jp,"","",システム管理者,2015/01/26 15:48:19,システム管理者,""
107,POINT(136.937498420789 34.732993517714),da030521,いちご狩り（いちごの丘）,味覚狩り体験で、自然の味覚を満喫,南知多町観光協会,0569-62-3110,http://minamichita-kk.com/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2021/03/15 15:39:14
108,POINT(136.898464339123 34.7483386401142),da030521,いちご狩り（憩いの農園）,味覚狩り体験で、自然の味覚を満喫,南知多町観光協会,0569-62-3100,http://minamichita-kk.com/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2021/03/15 15:42:01
109,POINT(136.896261386995 34.7607294836799),da030521,いちご狩り（南知多いちごの里）,味覚狩り体験で、自然の味覚を満喫,南知多町観光協会,0569-62-3100,http://minamichita-kk.com/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2021/03/15 15:43:42
110,POINT(136.896020832602 34.7608010696977),da030521,みかん狩り,味覚狩り体験で、自然の味覚を満喫,南知多町観光協会,0569-62-3110,http://minamichita-kk.com/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2021/03/15 15:44:27
111,POINT(136.911378268172 34.8462873885412),da030524,グリーンセンター武豊,営農センターとグリーンセンターを併せ持ったJAの複合施設,グリーンセンター武豊,0569-72-1631,https://www.agris.or.jp/food/green/entry-183.html,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2021/03/15 14:54:52
112,POINT(136.856761747701 34.7957037862384),da030522,知多半島の潮干狩り（奥田中潮干狩り場）,知多半島では、春4月になると各地で潮干狩り場が開設されます。,美浜町観光協会,0569-83-6660,https://www.aichi-mihama.com/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2021/03/15 14:58:29
113,POINT(136.854140771623 34.7894316613754),da030522,知多半島の潮干狩り（奥田南潮干狩り場）,知多半島では、春4月になると各地で潮干狩り場が開設されます。,美浜町観光協会,0569-83-6660 ,https://www.aichi-mihama.com/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2021/03/15 15:00:33
114,POINT(136.858189592369 34.7996469644756),da030522,知多半島の潮干狩り（奥田北潮干狩り場）,知多半島では、春4月になると各地で潮干狩り場が開設されます。,美浜町観光協会,0569-83-6660,https://www.aichi-mihama.com/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2021/03/15 15:01:17
115,POINT(136.942659374941 34.7466970521332),da030522,知多半島の潮干狩り（乙方海岸）,知多半島では、春4月になると各地で潮干狩り場が開設されます。,南知多町観光協会,0569-62-3100,http://minamichita-kk.com/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2021/03/15 15:33:00
116,POINT(136.919056921289 34.7980280930705),da030522,知多半島の潮干狩り（河和口潮干狩り場）,知多半島では、春4月になると各地で潮干狩り場が開設されます。,美浜町観光協会,0569-83-6660,https://www.aichi-mihama.com/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2021/03/15 15:28:49
117,POINT(136.862577442022 34.8160292053353),da030522,知多半島の潮干狩り（坂井海岸）,知多半島では、春4月になると各地で潮干狩り場が開設されます。,常滑市観光協会,0569-34-8888,https://www.tokoname-kankou.net/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2021/03/15 15:46:56
118,POINT(136.947227133475 34.7416479008754),da030522,知多半島の潮干狩り（山田海岸）,知多半島では、春4月になると各地で潮干狩り場が開設されます。,南知多町観光協会,0569-62-3100 ,http://minamichita-kk.com/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2021/03/15 15:34:47
119,POINT(136.921506379189 34.8049205133687),da030522,知多半島の潮干狩り（上村潮干狩り場）,知多半島では、春4月になると各地で潮干狩り場が開設されます。,美浜町観光協会,0569-83-6660,https://www.aichi-mihama.com/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2021/03/15 15:23:57
120,POINT(136.858643727954 34.8068330559554),da030522,知多半島の潮干狩り（上野間潮干狩り場）,知多半島では、春4月になると各地で潮干狩り場が開設されます。,美浜町観光協会,0569-83-6660,https://www.aichi-mihama.com/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2021/03/15 15:25:15
121,POINT(136.921065064175 34.8026298138804),da030522,知多半島の潮干狩り（大池潮干狩り場）,知多半島では、春4月になると各地で潮干狩り場が開設されます。,美浜町観光協会,0569-83-6660,https://www.aichi-mihama.com/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2021/03/15 15:26:02
122,POINT(136.916181586137 34.7839407537125),da030522,知多半島の潮干狩り（北方潮干狩り場）,知多半島では、春4月になると各地で潮干狩り場が開設されます。,美浜町観光協会,0569-83-6660,https://www.aichi-mihama.com/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2021/03/15 15:26:48
123,POINT(136.941969300792 34.7474350180933),da030522,知多半島の潮干狩り（矢梨潮干狩り場）,知多半島では、春4月になると各地で潮干狩り場が開設されます。,美浜町観光協会,0569-83-6660,https://www.aichi-mihama.com/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2021/03/15 15:27:23
125,POINT(136.924957577047 34.8469461768191),da030527,旧武豊港駅転車台,かつて、農林水産物輸送の花形であった鉄道。その文化を感じられる憩いの場です。,武豊町歴史民俗資料館,0569-73-2424,http://www.town.taketoyo.lg.jp/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,""
126,POINT(137.187095335484 34.9871853864471),da040501,おかざき農遊館,岡崎の農林業の振興と活性化を図るための農林産物直売施設です。,おかざき農遊館,0564-46-4700,https://www.city.okazaki.lg.jp/1200/1211/1249/p003245.html,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2020/07/27 14:07:08
127,POINT(137.128318703794 34.9145577515016),da040502,ふれあいドーム岡崎,岡崎の農林業の振興と活性化を図るための農林産物直売施設です。,ふれあいドーム岡崎,0564-43-0123,https://www.city.okazaki.lg.jp/1200/1211/1249/p003246.html,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2020/07/27 14:08:28
128,POINT(137.184330162282 35.0156453352634),da040503,おかざき自然体験の森,岡崎市北部に位置する、市民参加型環境教育の拠点施設,おかざき自然体験の森,0564-45-5544,https://okazaki-kanko.jp/mizutomidori/shizen-taiken,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2020/07/27 14:13:40
130,POINT(136.968633520167 34.850973673005),da040505,碧南市農業活性化センター　あおいパーク,見る、食べる、やってみる。碧南市あおいパークは体験パークです。,碧南市農業活性化センターあおいパーク,0566-43-0511,http://www.city.hekinan.lg.jp/aoi_park/index.html,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2020/07/27 14:52:59
131,POINT(137.007104962701 35.0149287375906),da040506,産直センター刈谷（中央部）,米や新鮮な季節野菜などを低価格で販売。,ＪＡあいち中央産直事業部,0566-62-1055,http://www.jaac.or.jp/agriculture/sanchoku/index.html ,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2015/12/03 10:03:13
132,POINT(137.011825702688 34.9694014179806),da040506,産直センター刈谷（南部）,米や新鮮な季節野菜などを低価格で販売。,ＪＡあいち中央産直事業部,0566-27-8817,http://www.jaac.or.jp/agriculture/sanchoku/index.html ,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2015/12/03 10:05:48
133,POINT(137.037294751964 35.0413777023258),da040506,産直センター刈谷（北部）,米や新鮮な季節野菜などを低価格で販売。,ＪＡあいち中央産直事業部,0566-35-1080,http://www.jaac.or.jp/agriculture/sanchoku/index.html  ,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2015/12/03 10:07:33
134,POINT(137.049997503064 35.0420576672561),da040507,刈谷ハイウェイオアシス,高速利用者も一般道路利用者も楽しめる伊勢湾岸道刈谷市内パーキングエリア,刈谷ハイウェイオアシス株式会社,0566-35-0211,http://www.kariya-oasis.com/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,""
135,POINT(137.09501900651 34.9488170856635),da040509,ＪＡあいち中央　産直センター安城東部,安城市安城町のJA直売施設。産直野菜、果物、花、観葉植物、園芸用品、生産資材など,ＪＡあいち中央産直センター安城東部,0566-76-6503,http://www.jaac.or.jp/agriculture/sanchoku/index.html,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2020/07/27 15:07:37
136,POINT(137.065120268848 34.9295220826071),da040510,産直センター「道の駅」デンパーク安城,安城市デンパーク隣接の道の駅。産直野菜、果物、ＪＡ特産品、花など,産直センター「道の駅」デンパーク安城,0566-73-4401,http://www.jaac.or.jp/agriculture/sanchoku/index.html,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2020/07/27 15:12:22
137,POINT(137.090075970185 34.9897231371849),da040511,ＪＡあいち中央　グリーンセンター安城北部,安城市東栄町のJA直売施設。産直野菜、ＪＡ特産品、果物、花、観葉植物、園芸用品、生産資材,ＪＡあいち中央グリーンセンター安城北部,0566-96-1051,"","","",システム管理者,2015/01/26 15:48:19,システム管理者,""
138,POINT(137.087205298863 34.9223897621041),da040512,ＪＡあいち中央　産直センター安城桜井,安城市桜井町のJA直売施設。産直野菜、ＪＡ特産品、果物、花、食品など,ＪＡあいち中央産直センター安城桜井,0566-73-7177,"","","",システム管理者,2015/01/26 15:48:19,システム管理者,""
139,POINT(137.065120268848 34.9295220826071),da040513,安城産業文化公園デンパーク,安城市デンパークは、花・みどり・暮らしを提案。,安城産業文化公園デンパーク,0566-92-7111,https://denpark.jp/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2020/07/27 15:16:49
140,POINT(137.11598330831 34.8634657950135),da040515,西尾いきものふれあいの里,西尾市東部丘陵地。身近な里山の自然にふれることができる場,西尾いきものふれあいの里ネイチャーセンター,0563-52-0266,"https://www.city.nishio.aichi.jp/index.cfm/9,0,94,431,html","","",システム管理者,2015/01/26 15:48:19,システム管理者,2020/07/27 15:18:45
141,POINT(137.05128426687 34.8357457119662),da040517,西尾市憩の農園,東海地区随一の産地直売方式の緑花木ショッピングセンター西尾市憩の農園,JA西三河憩の農園,0563-56-8168,https://www.ja-nishimikawa.or.jp/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2020/12/22 09:24:40
142,POINT(137.033867678082 34.7262491417125),da040518,佐久島弁天サロン,一色町沖の三河湾に浮かぶ佐久島で、人々の新たな意欲と創意を生み出す場,佐久島弁天サロン,0563-78-2001,http://www.sakushima.com/guide/benten_saron.php ,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2015/12/02 14:32:23
143,POINT(137.095410117008 34.8256016429654),da040519,産直つのひら,吉良町の津平地区の住民が、農林水産物の直売を行っています。,西尾市役所農水振興課,0563-56-2111 ,"","","",システム管理者,2015/01/26 15:48:19,システム管理者,2020/07/27 15:38:24
144,POINT(137.11546814143 34.7946090931806),da040520,アグリプラザ幡豆店,幡豆町西幡豆でＪＡ西三河が運営する農産物の直売施設,アグリプラザ幡豆店,0563-62-3100,https://www.ja-nishimikawa.or.jp/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2020/07/27 15:45:57
145,POINT(137.106170805569 34.7911250209348),da040521,潮干狩り場(西幡豆・鳥羽海岸),幡豆町内の東幡豆海岸と西幡豆・鳥羽海岸での潮干狩り,西尾観光協会,0563-57-7882,http://nishiokanko.com/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2020/07/27 15:50:04
146,POINT(137.145708010206 34.7883075247746),da040521,潮干狩り場(東幡豆海岸),幡豆町内の東幡豆海岸と西幡豆・鳥羽海岸での潮干狩り,西尾観光協会,0563-57-7882,http://nishiokanko.com/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2020/07/27 15:50:46
147,POINT(137.101132116461 34.792402548559),da040522,三ヶ根みかん狩り,幡豆町三ヶ根山麓でみかん狩り（温州みかん）,みかん狩組合,0563-62-3468,"","","",システム管理者,2015/01/26 15:48:19,システム管理者,""
148,POINT(137.196031198732 34.8576491583549),da040523,不動ケ滝キャンプ場,幸田町遠望峰山山麓の自然の中のキャンプ場,幸田町役場都市計画課計画整備グループ,0564-62-1111,https://www.town.kota.lg.jp/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2020/07/27 15:55:46
149,POINT(137.177047915142 34.877539202455),da040524,幸田憩の農園,国道２４８幸田町大草交差点のJA直売施設。新鮮野菜の産直コーナーをはじめ豊富な品揃え,幸田憩の農園,0564-62-4339,https://www.ja-aichimikawa.or.jp/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2020/07/27 15:56:21
150,POINT(137.065120268848 34.9295220826071),da040525,和食処「ふるさと館」の郷土料理,安城市デンパークの和食処。箱寿司などの郷土料理や、地元の旬のとれたて野菜の料理が楽しめます。,和食処　ふるさと館（デンパーク内）,0566-92-7125,https://www.denpark.jp/post-detail.php?id=10#block2095,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2020/08/14 13:36:22
151,POINT(137.065120268848 34.9295220826071),da040526,農場レストラン「花車」,「地産・地活」をコンセプトに地元農産物や手作りソーセージをたっぷり食べられる「ビュッフェレストラン」です。,農場レストラン「花車」（デンパーク内）,0566-92-5439,https://www.next-anjo.com/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2020/08/14 13:31:56
155,POINT(137.207654110803 34.9405196382662),da040528,愛知県畜産総合センター,岡崎市丸山町にある愛知県畜産総合センターでは、畜産との「ふれあいの場」を提供しています。,愛知県畜産総合センター（人工妊娠課）,0564-21-0201,https://www.pref.aichi.jp/soshiki/chikusan-c/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2020/08/14 13:42:24
156,POINT(137.051688559099 34.8359263942323),da040529,西尾市バラ園,約202種類、3、500本余りのバラが誇らしげに咲くバラ園,ＪＡ西三河　西尾市憩の農園,0563-56-8168,http://www.ja-ikoi.com/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2020/08/14 13:49:11
157,POINT(137.05107802447 34.8659546183756),da040530,抹茶ラボ　西尾伝想茶屋店 ,西尾市歴史公園の尚古荘（昭和初期に作られた日本式庭園と建物）の敷地の一角にある商家風木造２階建ての伝想茶屋は、平成１１年に完成した建物です。,抹茶ラボ　西尾伝想茶屋店,0563-56-0255,"","","",システム管理者,2015/01/26 15:48:19,システム管理者,2020/08/14 14:00:26
158,POINT(137.101773722324 34.7685039673468),da040531,潮干狩り(梶島),西尾市吉良町の海で毎年行われる人気行事です。多くの人が訪れます。,西尾市観光協会,0563-57-7882,http://nishiokanko.com/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2020/08/14 14:09:00
159,POINT(137.067351248353 34.7856003590693),da040531,潮干狩り（吉田海岸）,西尾市吉良町の海で毎年行われる人気行事です。多くの人が訪れます。,西尾市観光協会,0563-57-7882,http://nishiokanko.com/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2020/08/14 14:11:39
160,POINT(137.096758943638 34.7818434917342),da040531,潮干狩り（宮崎東海岸）,西尾市吉良町の海で毎年行われる人気行事です。多くの人が訪れます。,吉良町役場産業課,0563-32-2157,http://www.town.kira.lg.jp/pub/kankou_bunka/index.htm,"","",システム管理者,2015/01/26 15:48:19,システム管理者,""
161,POINT(137.144527789077 34.7885597372501),da040532,三河湾観光遊船,西尾市東幡豆港の小型底引き網漁船を一隻借りきって、三河湾の真ん中で漁師気分と海の幸をまるごと堪能できます。,東幡豆漁業協同組合,0563-62-2068,https://higasihazu-gk.wixsite.com/higashihazu,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2020/08/14 14:23:12
162,POINT(137.158066444309 34.792140420557),da040533,愛知こどもの国,東幡豆町の「愛知こどもの国」は、三河湾を見渡せる１００万㎡の広大な丘にあり季節を問わず、家族連れに人気です。,愛知こどもの国,0563-62-4151,https://www.kodomo-aichi.jp/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2020/08/14 14:28:42
163,POINT(137.027083888358 34.8058987541015),da040534,一色地域文化広場「学びの館」,一色地域文化広場の核となっている施設。,一色学びの館,0563-72-3880,https://isshiki-ccp.jp/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2020/08/14 14:36:26
164,POINT(137.014054740316 34.7945782753335),da040535,一色さかな広場,漁港に隣接した人気の海鮮マーケット。,一色さかなセンター（株）,0563-72-3700,http://www.sakanahiroba.com/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2020/08/14 14:43:37
166,POINT(137.0460460146 34.7238637820912),da040538,大浦海水浴場（佐久島）,西尾市一色町佐久島の大浦湾にある愛知県内屈指の美しい海水浴場です。,西尾市役所佐久島振興課,0563-72-9607,http://sakushima.com/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2020/08/14 14:48:48
167,POINT(137.083136133904 34.8767807442883),da040539,道の駅にしお岡ノ山,六万石城下町、日本有数の抹茶の里「西尾」の道の駅,道の駅にしお岡ノ山,0563-55-5821,http://okanoyama.com/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,""
168,POINT(137.132698479275 34.8561514782338),da040540,道の駅　筆柿の里・幸田,幸田町の魅力的な情報を発信し、都市と農村をつなぐ道の駅。,道の駅　筆柿の里・幸田,0564-63-5171,http://www.fudegaki-sato.com/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2020/08/14 14:52:26
169,POINT(137.190146284752 35.160644265585),da050501,愛知県緑化センター・昭和の森,造園風景から自然林まで豊かな質の高い緑を気軽に体感できる。,愛知県緑化センター,0565-76-2106,https://www.aichi-park.or.jp/ryokka/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2020/08/14 14:56:15
170,POINT(137.295835423018 35.2321973765116),da050502,緑の公園,元気いっぱい！スポーツとウオーキングはいかがですか,緑の公園,0565-65-2115,https://www.kankou-obara.toyota.aichi.jp/place/182/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2020/08/14 15:04:21
171,POINT(137.294361383237 35.2380312432284),da050503,和紙のふるさと,小原工芸紙作品の鑑賞や、和紙で、「絵すき」「うちわ」「葉すき」などの制作体験実習ができます。,和紙のふるさと,0565-65-2953,http://washinofurusato.jp/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2020/08/14 15:05:16
172,POINT(137.314151215298 35.1295558718759),da050504,三州足助屋敷,山里の生活の知恵や技術の伝承を見る。,三州足助屋敷,0565-62-1188,http://asukeyashiki.jp/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2020/08/14 15:09:45
173,POINT(137.385284347387 35.1161069319844),da050505,鼎（かなえ）工房,昔なつかしい小学校で、木工等３種の体験を楽しむことができる。,鼎（かなえ）工房,0565-62-2693,http://www.asuke.aitai.ne.jp/~kanae-z/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2020/08/14 15:11:42
174,POINT(137.318499790262 35.1372849661347),da050506,中馬館,明治から昭和時代にかけた商業・金融関係の資料館,足助中馬館,0565-62-0878,https://www.city.toyota.aichi.jp/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2020/08/14 15:15:44
175,POINT(137.285279044726 35.1426766595836),da050507,足助みたち栗園 ,空気が澄んだ秋空のもと、栗拾いはいかがですか。,香嵐渓グリーンファーム三ッ足栗園,0565-62-1192,http://www.farm-mitachi.com/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2020/08/14 15:27:24
176,POINT(137.322751578642 35.1341244816726),da050509,城跡公園足助城,発掘調査に基づき整備された、全国でも初めての山城,足助城,0565-62-0770,http://asukejo.com/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2020/08/14 15:35:40
177,POINT(137.396463247689 35.0377223651675),da050510,香恋の館,ハーブの香り、郷土の香り、懐かしい香りを楽しもう。,香恋の里香恋の館,0565-86-4120,http://www.karennosato.com/yakata/index01.html,"","",システム管理者,2015/01/26 15:48:19,システム管理者,""
178,POINT(137.406717114845 35.2192098305171),da050511,旭高原元気村,空気が澄んださわやかな高原で、いろいろな体験を。,旭高原元気村,0565-68-2755,http://www.asahikougen.co.jp/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2020/08/14 15:40:51
179,POINT(137.503616690124 35.2146520243457),da050512,稲武どんぐり工房,古い農家を移築増築した建物で、囲炉裏を囲んで各種の体験。,どんぐりの里いなぶ内どんぐり工房,0565-83-3838,https://www.inabu-kankou.com/donguri,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2020/08/14 15:45:53
180,POINT(137.463621815842 35.1960879267324),da050513,木材需要促進センター「モッキー」,親子・グループで木工を体験,木材需要促進センター「モッキー」,0536-82-2311,http://inabu.or.jp/kanko/mocky.htm,"","",システム管理者,2015/01/26 15:48:19,システム管理者,""
181,POINT(137.523992094386 35.2045966733276),da050514,稲武郷土資料館「ちゅ～ま」,江戸中期から明治初期の収蔵物がたくさん展示されている。,豊田市稲武郷土資料館「ちゅ～ま」,0565-82-3439,https://www.city.toyota.aichi.jp/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2020/08/14 15:56:59
182,POINT(137.507790793162 35.214685407395),da050515,古橋懐古館,古橋家の旧酒蔵、味噌蔵、穀蔵等を改造して公開した、歴史民族資料館,古橋懐古館,0536-82-2100,http://kaikokan.org/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2020/08/14 16:09:59
183,POINT(137.087939689485 35.0928135577047),da050516,三好公園,1年中スポーツに親しめ、イベントも豊富な公園です。,有料施設：三好公園総合体育館,0561-34-3131,https://www.city.aichi-miyoshi.lg.jp/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2020/08/18 10:07:38
184,POINT(137.075875027158 35.0829792087598),da050517,保田ケ池公園,子供から大人まで様々な遊び方ができる公園施設です。,みよし市都市建設部公園緑地課,0561-32-8024,https://www.city.aichi-miyoshi.lg.jp/index.html,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2020/08/18 10:04:30
185,POINT(137.154877474785 35.0844008724033),da050518,ＪＡあいち豊田各産直店,新鮮な豊田加茂の農林産物や加工品がたくさんありますよ！！,あいち豊田農業協同組合,0565-31-2326,https://www.ja-aichitoyota.or.jp/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2020/08/18 10:10:25
186,POINT(137.08207361436 35.0805407314376),da050518,グリーンステーション三好,新鮮な豊田加茂の農林産物や加工品がたくさんありますよ！！,あいち豊田農業協同組合,0565-31-2326,https://www.ja-aichitoyota.or.jp/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2020/08/18 10:15:28
187,POINT(137.23100752453 35.0555555899624),da050519,滝川ふれあい工房,コンニャク作りや特産ミネアサヒの五平餅作りを体験できます。,滝川ふれあい工房,0565-58-3771,http://www.toyota.or.jp/news2004/takigawa.htm,"","",システム管理者,2015/01/26 15:48:19,システム管理者,""
188,POINT(137.151741728857 35.0804070532837),da050520,七州城址(しちしゅうじょうし)公園＆豊田市美術館,七州城とは挙母城の別称。公園の東側には美術館があります。,豊田市美術館,0565-34-6610,https://www.museum.toyota.aichi.jp/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2020/08/18 10:25:40
